,,,,,,,,,,,,,,,,,,,,,
DATE,ROOM,BANDS,ADV,DOS,TOTAL ADV,ADV IN,NEED,LEFT,TOTAL DOS,DOS IN,FINAL,FINAL NEED ,CLE TAX TAKEN,BAND PAYOUT,TOTAL COUNT,REMAINING,BAR RINGS,,,,
2018,,,,,,,,,,,,,,,,,,,,,
4-May,BALLROOM,Hot Club of Cowtown,$20.00,$25.00,88,"$1,760.00","$2,650.00",$890.00,27,$0.00,"$1,760.00",$890.00,$70.40,"$2,500.00",115,-$810.40,"$1,143.94",,,,
5-May,TAVERN,Ruby The RabbitFoot,$7.00,$10.00,4,$28.00,$18.20,-$9.80,9,$90.00,$118.00,-$99.80,N/A,$76.70,13,$41.30,$289.00,,,,
6-May,TAVERN,The Brevet,$10.00,$12.00,7,$70.00,$400.00,$330.00,6,$72.00,$142.00,$258.00,N/A,$400.00,13,-$258.00,$254.57,,,,
7-May,TAVERN,Y La Bamba,$10.00,$12.00,10,$100.00,$200.00,$100.00,31,$372.00,$472.00,-$272.00,N/A,$200.00,41,$272.00,$718.00,,,,
8-May,TAVERN,Sunflower Bean,$12.00,$12.00,75,$900.00,$800.00,-$100.00,22,$264.00,"$1,164.00",-$364.00,N/A,$800.00,97,$364.00,$809.65,,,,
11-May,BALLROOM,Teddy Boys,$8.00,$10.00,15,$120.00,$400.00,$280.00,156,"$1,560.00","$1,680.00","-$1,280.00",$67.20,"$1,265.00",171,$347.80,"$3,982.62",,,,
12-May,BALLROOM,The Floorwalkers,$10.00,$12.00,14,$140.00,$400.00,$260.00,54,$648.00,$788.00,-$388.00,$31.52,$491.00,68,$265.48,"$1,219.10",,,,
14-May,TAVERN,Mainland,$12.00,$15.00,24,$288.00,$700.00,$412.00,7,$105.00,$393.00,$307.00,N/A,$700.00,31,-$307.00,$320.48,,,,
15-May,BALLROOM,Jukebox the Ghost,$18.00,$20.00,347,"$6,246.00","$5,500.00",-$746.00,19,$380.00,"$6,626.00","-$1,126.00",$265.04,"$5,000.00",366,"$1,360.96",$0.00,,,,
16-May,BALLROOM,Squirrel Nut Zippers,$30.00,$35.00,228,"$6,840.00","$8,150.00","$1,310.00",51,"$1,785.00","$8,625.00",-$475.00,$345.00,"$8,000.00",279,$280.00,"$3,711.01",,,,
17-May,TAVERN,Pink Mexico,$10.00,$10.00,1,$10.00,$200.00,$190.00,38,$380.00,$390.00,-$190.00,N/A,$200.00,39,$190.00,$341.71,,,,
19-May,TAVERN,Handsome Ghost,$15.00,$15.00,86,"$1,290.00","$1,000.00",-$290.00,11,$165.00,"$1,455.00",-$455.00,N/A,"$1,000.00",97,$455.00,$660.70,,,,
22-May,BALLROOM,MARCUS KING BAND *SOLD OUT,$17.00,$20.00,501,"$8,517.00","$4,150.00","-$4,367.00",0,$0.00,"$8,517.00","-$4,367.00",$340.68,"$6,000.00",501,"$2,176.32","$5,492.03",,,,
22-May,TAVERN,Matthew Logan Vasquez,$12.00,$12.00,15,$180.00,$200.00,$20.00,11,$132.00,$312.00,-$112.00,N/A,$220.00,26,$92.00,$611.67,,,,
23-May,TAVERN,Michael Rault,$10.00,$10.00,3,$30.00,$600.00,$570.00,25,$250.00,$280.00,$320.00,N/A,$300.00,28,-$20.00,$564.83,,,,
24-May,TAVERN,Michelle Romary,$10.00,$10.00,9,$90.00,$200.00,$110.00,10,$100.00,$190.00,$10.00,N/A,$200.00,19,-$10.00,$438.72,,,,
26-May,TAVERN,Istvan Medgyesi,$13.00,$13.00,2,$26.00,$400.00,$374.00,37,$481.00,$507.00,-$107.00,N/A,$400.00,39,$107.00,$841.26,,,,
31-May,BALLROOM,Marcia Ball,$30.50,$35.00,74,"$2,257.00","$3,650.00","$1,393.00",13,$455.00,"$2,712.00",$938.00,$108.48,"$3,500.00",87,-$788.00,"$1,565.88",,,,
1-Jun,TAVERN,Bro Dylan,$8.00,$10.00,53,$424.00,$200.00,-$224.00,37,$370.00,$794.00,-$594.00,N/A,$645.00,90,$149.00,"$1,176.91",,,,
2-Jun,BALLROOM,The Lighthouse and The Whaler,$12.00,$15.00,74,$888.00,"$2,300.00","$1,412.00",51,$765.00,"$1,653.00",$647.00,$66.12,"$2,300.00",125,-$713.12,"$1,195.29",,,,
2-Jun,TAVERN,label me lecter,$7.00,$10.00,4,$28.00,$200.00,$172.00,32,$320.00,$348.00,-$148.00,N/A,$125.00,36,$223.00,$278.26,,,,
4-Jun,TAVERN,Sweepyhead,$5.00,$7.00,0,$0.00,$200.00,$200.00,15,$105.00,$105.00,$95.00,N/A,$200.00,15,-$95.00,$137.18,,,,
6-Jun,HOUSE OF BLUES,BILLIE EILISH *SOLD OUT,$20.00,$22.00,1200,"$24,000.00","$16,800.00","-$7,200.00",0,$0.00,"$24,000.00","-$7,200.00","$1,920.00","$16,800.00",1200,"$5,280.00",N/A,,,,
8-Jun,TAVERN,Scott Helman,$10.00,$10.00,28,$280.00,$300.00,$20.00,13,$130.00,$410.00,-$110.00,N/A,$300.00,41,$110.00,$472.26,,,,
12-Jun,BALLROOM,Typhoon,$18.00,$20.00,131,"$2,358.00","$5,550.00","$3,192.00",13,$260.00,"$2,618.00","$2,932.00",$104.72,"$5,000.00",144,"-$2,486.72","$1,225.19",,,,
12-Jun,TAVERN,Quiet Slang,$13.00,$15.00,24,$312.00,$900.00,$588.00,8,$120.00,$432.00,$468.00,N/A,$650.00,32,-$218.00,$425.70,,,,
13-Jun,BALLROOM,Real Estate,$22.00,$25.00,372,"$8,184.00","$7,050.00","-$1,134.00",67,"$1,675.00","$9,859.00","-$2,809.00",$394.36,"$7,000.00",439,"$2,464.64","$3,650.87",,,,
13-Jun,TAVERN,Animal Years,$10.00,$12.00,32,$320.00,$800.00,$480.00,22,$264.00,$584.00,$216.00,N/A,$500.00,54,$84.00,$528.92,,,,
14-Jun,BALLROOM,Jungle,$20.00,$20.00,169,"$3,380.00","$6,240.00","$2,860.00",7,$140.00,"$3,520.00","$2,720.00",$140.80,"$5,000.00",176,"-$1,620.80","$1,965.09",,,,
14-Jun,TAVERN,Bad Bad Hats,$12.00,$12.00,57,$684.00,$900.00,$216.00,14,$168.00,$852.00,$48.00,N/A,$900.00,71,-$48.00,$715.23,,,,
17-Jun,TAVERN,Bodega,$10.00,$12.00,13,$130.00,$200.00,$70.00,6,$72.00,$202.00,-$2.00,N/A,$200.00,19,$2.00,$407.50,,,,
18-Jun,TAVERN,Christina Holmes,$10.00,$10.00,2,$20.00,$200.00,$180.00,21,$210.00,$230.00,-$30.00,N/A,$200.00,23,$30.00,$190.32,,,,
19-Jun,TAVERN,Yeek,$12.00,$12.00,23,$276.00,$650.00,$374.00,12,$144.00,$420.00,$230.00,N/A,$550.00,35,-$130.00,$423.23,,,,
22-Jun,GROG SHOP,Priests,$10.00,$12.00,32,$320.00,"$1,000.00",$680.00,70,$840.00,"$1,160.00",-$160.00,$348.00,"$1,000.00",102,$160.00,N/A,,,,
25-Jun,TAVERN,THE DIP *SOLD OUT,$10.00,$12.00,55,$550.00,$400.00,-$150.00,95,"$1,140.00","$1,690.00","-$1,290.00",N/A,"$1,350.00",150,$340.00,"$1,538.92",,,,
27-Jun,BALLROOM,BISHOP BRIGGS *SOLD OUT,$25.00,$25.00,479,"$11,975.00","$8,000.00","-$3,975.00",10,$250.00,"$12,225.00","-$4,225.00",$489.00,"$8,089.00",489,"$3,647.00","$3,546.19",,,,
29-Jun,BALLROOM,DEAD BOYS *SOLD OUT,$18.00,$20.00,303,"$5,454.00","$2,550.00","-$2,904.00",127,"$2,540.00","$7,994.00","-$5,444.00",$319.76,"$4,735.20",430,"$2,939.04","$4,655.89",,,,
30-Jun,BALLROOM,Suzanne Santo,$13.00,$15.00,87,"$1,131.00",$500.00,-$631.00,46,$690.00,"$1,821.00","-$1,321.00",$72.84,"$1,227.80",133,$520.36,"$1,547.29",,,,
5-Jul,TAVERN,Alyssa Boyd Quartet,$5.00,$8.00,3,$15.00,$200.00,$185.00,27,$216.00,$231.00,-$31.00,N/A,$180.00,30,$51.00,$379.37,,,,
16-Jul,TAVERN,Pearl Charles,$12.00,$12.00,5,$60.00,$700.00,$640.00,9,$108.00,$168.00,$532.00,N/A,$500.00,14,-$332.00,$334.28,,,,
17-Jul,TAVERN,Bent Knee,$12.00,$12.00,21,$252.00,$400.00,$148.00,27,$324.00,$576.00,-$176.00,N/A,$400.00,48,$176.00,$373.80,,,,
19-Jul,TAVERN,Mobley,$8.00,$10.00,2,$16.00,$200.00,$184.00,8,$80.00,$96.00,$104.00,N/A,$58.00,10,$38.00,$296.23,,,,
24-Jul,BALLROOM,Japanese Breakfast / Mothers,$15.00,$15.00,310,"$4,650.00","$2,950.00","-$1,700.00",47,$705.00,"$5,355.00","-$2,405.00",$214.20,"$3,200.00",357,"$1,940.80","$2,041.24",,,,
24-Jul,TAVERN,Knox Hamilton,$10.00,$12.00,29,$290.00,$300.00,$10.00,14,$168.00,$458.00,-$158.00,N/A,$375.00,43,$83.00,$355.55,,,,
29-Jul,BALLROOM,Snail Mail,$14.00,$14.00,247,"$3,458.00","$1,000.00","-$2,458.00",38,$532.00,"$3,990.00","-$2,990.00",$159.60,"$1,000.00",285,"$2,830.40","$1,653.31",,,,
29-Jul,TAVERN,Calliope Musicals,$10.00,$12.00,2,$20.00,$300.00,$280.00,2,$24.00,$44.00,$256.00,N/A,$150.00,4,-$106.00,$543.80,,,,
1-Aug,TAVERN,LAUREN SANDERSON *SOLD OUT,$10.00,$10.00,157,"$1,570.00",$300.00,"-$1,270.00",0,$0.00,"$1,570.00","-$1,270.00",N/A,$966.00,157,$604.00,$516.26,,,,
3-Aug,TAVERN,HIRIE *SOLD OUT,$15.00,$15.00,103,"$1,545.00","$1,081.50",-$463.50,20,$300.00,"$1,845.00",-$763.50,N/A,"$1,291.50",123,$553.50,"$2,250.40",,,,
5-Aug,TAVERN,Campdogzz,$10.00,$12.00,4,$40.00,$24.00,-$16.00,2,$24.00,$64.00,-$40.00,N/A,$38.40,6,$25.60,$265.33,,,,
8-Aug,TAVERN,Mourn,$12.00,$14.00,5,$60.00,$900.00,$840.00,6,$84.00,$144.00,$756.00,N/A,$900.00,11,-$756.00,$0.00,,,,
10-Aug,BALLROOM,Marcus Alan Ward,$10.00,$12.00,92,$920.00,$350.00,-$570.00,35,$420.00,"$1,340.00",-$990.00,$53.60,$940.00,127,$346.40,$0.00,,,,
11-Aug,BALLROOM,Mimi Arden,$10.00,$12.00,78,$780.00,$350.00,-$430.00,64,$768.00,"$1,548.00","-$1,198.00",$61.92,"$1,040.00",142,$446.08,$0.00,,,,
12-Aug,MAHALL'S,Tacocat,$12.00,$12.00,60,$720.00,"$1,550.00",$830.00,66,$792.00,"$1,512.00",$38.00,N/A,"$1,550.00",126,-$38.00,N/A,,,,
15-Aug,TAVERN,Nicole Atkins,$15.00,$15.00,37,$555.00,$900.00,$345.00,16,$240.00,$795.00,$105.00,N/A,$900.00,53,-$105.00,$729.55,,,,
16-Aug,BALLROOM,Shawn & Shelby,$5.00,$7.00,2,$10.00,$120.00,$110.00,24,$168.00,$178.00,-$58.00,$7.12,$120.00,26,$50.88,$420.13,,,,
17-Aug,TAVERN,Poro,$8.00,$12.00,16,$128.00,$102.40,-$25.60,35,$420.00,$548.00,-$445.60,N/A,$400.00,51,$148.00,$681.30,,,,
23-Aug,BALLROOM,Mt. Joy,$15.00,$18.00,234,"$3,510.00","$2,457.00","-$1,053.00",54,$972.00,"$4,482.00","-$2,025.00",$179.28,"$3,017.70",288,"$1,285.02","$2,727.45",,,,
25-Aug,TAVERN,Great Lake Swimmers,$15.00,$18.00,45,$675.00,"$1,200.00",$525.00,23,$414.00,"$1,089.00",$111.00,N/A,"$1,200.00",68,-$111.00,"$1,004.75",,,,
28-Aug,TAVERN,Collin Miller,$8.00,$10.00,9,$72.00,$650.00,$578.00,72,$720.00,$792.00,-$142.00,N/A,$650.00,81,$142.00,"$1,248.78",,,,
29-Aug,TAVERN,Native Sun,$10.00,$12.00,0,$0.00,$0.00,$0.00,16,$192.00,$192.00,-$192.00,N/A,$134.40,16,$57.60,$387.76,,,,
30-Aug,BALLROOM,Foxing + Ratboy,$15.00,$17.00,236,"$3,540.00","$4,000.00",$460.00,47,$799.00,"$4,339.00",-$339.00,$173.56,"$3,850.00",283,$315.44,"$2,117.93",,,,
9-Sep,BALLROOM,Coco Montoya,$18.00,$20.00,126,"$2,268.00","$1,500.00",-$768.00,9,$180.00,"$2,448.00",-$948.00,$97.92,"$1,500.00",135,$850.08,"$1,554.73",,,,
11-Sep,BALLROOM,LIZ PHAIR *SOLD OUT,$32.00,$32.00,500,"$16,000.00","$12,000.00","-$4,000.00",0,$0.00,"$16,000.00","-$4,000.00",$640.00,"$12,000.00",500,"$3,360.00","$4,916.85",,,,
14-Sep,TAVERN,Laurel & the Love-In,$10.00,$12.00,39,$390.00,$273.00,-$117.00,9,$108.00,$498.00,-$225.00,N/A,$348.60,48,$149.40,$643.52,,,,
17-Sep,TAVERN,The Nude Party,$10.00,$12.00,13,$130.00,$91.00,-$39.00,33,$396.00,$526.00,-$435.00,N/A,$368.20,46,$157.80,$941.70,,,,
18-Sep,TAVERN,Lindi Ortega,$15.00,$20.00,46,$690.00,"$1,150.00",$460.00,19,$380.00,"$1,070.00",$80.00,N/A,$850.00,65,$220.00,$892.21,,,,
19-Sep,TAVERN,Van William,$12.00,$14.00,3,$36.00,$500.00,$464.00,12,$168.00,$204.00,$296.00,N/A,$500.00,15,-$296.00,$349.62,,,,
20-Sep,TAVERN,Bully + Goldmines,$15.00,$15.00,43,$645.00,$516.00,-$129.00,25,$375.00,"$1,020.00",-$504.00,N/A,$816.00,68,$204.00,$959.25,,,,
21-Sep,TAVERN,Still Corner ,$10.00,$12.00,56,$560.00,$550.00,-$10.00,31,$372.00,$932.00,-$382.00,N/A,$550.00,87,$382.00,"$1,298.81",,,,
27-Sep,TAVERN,Cautious Clay,$15.00,$15.00,61,$915.00,"$1,250.00",$335.00,10,$150.00,"$1,065.00",$185.00,N/A,"$1,250.00",71,-$185.00,$892.60,,,,
28-Sep,TAVERN,Dream Wife,$12.00,$12.00,46,$552.00,$700.00,$148.00,10,$120.00,$672.00,$28.00,N/A,$600.00,56,$72.00,$696.89,,,,
2-Oct,TAVERN,Melodime,$12.00,$14.00,8,$96.00,$900.00,$804.00,12,$168.00,$264.00,$636.00,N/A,$450.00,20,-$186.00,$273.18,,,,
5-Oct,TAVERN,Samfox,$8.00,$10.00,10,$80.00,$64.00,-$16.00,45,$450.00,$530.00,-$466.00,N/A,$424.00,55,$106.00,"$1,475.39",,,,
7-Oct,BALLROOM,Emily Kinney,$20.00,$20.00,50,"$1,000.00","$2,250.00","$1,250.00",7,$140.00,"$1,140.00","$1,110.00",$45.60,"$2,250.00",57,"-$1,155.60",$373.33,,,,
7-Oct,TAVERN,Valley Queen,$10.00,$12.00,15,$150.00,$97.50,-$52.50,7,$84.00,$234.00,-$136.50,N/A,$152.10,22,$81.90,$163.05,,,,
8-Oct,TAVERN,The Beths,$10.00,$10.00,44,$440.00,$264.00,-$176.00,20,$200.00,$640.00,-$376.00,N/A,$384.00,64,$256.00,$671.04,,,,
9-Oct,TAVERN,Petra Glynt,$7.00,$10.00,0,$0.00,$0.00,$0.00,2,$20.00,$20.00,-$20.00,N/A,$14.00,2,$6.00,$84.49,,,,
15-Oct,TAVERN,Death Bells,$10.00,$10.00,2,$20.00,$13.00,-$7.00,12,$120.00,$140.00,-$127.00,N/A,$91.00,14,$49.00,$140.48,,,,
16-Oct,TAVERN,Yamantaka // Sonic Titan,$12.00,$12.00,7,$84.00,$300.00,$216.00,10,$120.00,$204.00,$96.00,N/A,$290.00,17,-$86.00,$331.86,,,,
18-Oct,TAVERN,Blue Water Highway,$10.00,$10.00,4,$40.00,$28.00,-$12.00,9,$90.00,$130.00,-$102.00,N/A,$91.00,13,$39.00,$271.12,,,,
20-Oct,BALLROOM,The Barr Brothers,$20.00,$25.00,102,"$2,040.00","$5,000.00","$2,960.00",24,$600.00,"$2,640.00","$2,360.00",$105.60,"$5,000.00",126,"-$2,465.60","$1,397.73",,,,
20-Oct,TAVERN,Future Generations,$10.00,$12.00,19,$190.00,$200.00,$10.00,8,$96.00,$286.00,-$86.00,N/A,$200.00,27,$86.00,$340.98,,,,
24-Oct,TAVERN,The Dirty Nil,$12.00,$15.00,32,$384.00,$600.00,$216.00,12,$180.00,$564.00,$36.00,N/A,$600.00,44,-$36.00,$0.00,,,,
25-Oct,BALLROOM,Remember Jones,$15.00,$20.00,104,"$1,560.00","$2,000.00",$440.00,19,$380.00,"$1,940.00",$60.00,$77.60,"$1,500.00",123,$362.40,$0.00,,,,
28-Oct,BALLROOM,Tune-Yards + US Girls,$22.50,$25.00,299,"$6,727.50","$8,000.00","$1,272.50",39,$975.00,"$7,702.50",$297.50,$308.10,"$8,000.00",338,-$605.60,$0.00,,,,
30-Oct,BALLROOM,A Tribe Called Red,$20.00,$25.00,87,"$1,740.00","$3,700.00","$1,960.00",47,"$1,175.00","$2,915.00",$785.00,$116.60,"$3,700.00",134,-$901.60,"$1,850.45",,,,
2-Nov,TAVERN,Shana Falana,$5.00,$5.00,2,$10.00,$150.00,$140.00,0,$0.00,$10.00,$140.00,N/A,$150.00,2,-$140.00,N/A,,,,
2-Nov,BALLROOM,Why?,$16.00,$18.00,233,"$3,728.00","$4,000.00",$272.00,51,$918.00,"$4,646.00",-$646.00,$0.00,"$4,000.00",284,$646.00,"$4,218.98",,,,
7-Nov,TAVERN,Madeline Kenney,$10.00,$10.00,2,$20.00,$13.00,-$7.00,8,$80.00,$100.00,-$87.00,N/A,$65.00,10,$35.00,$400.13,,,,
13-Nov,TAVERN,Dodos + Palehound,$15.00,$15.00,45,$675.00,"$1,500.00",$825.00,21,$315.00,$990.00,$510.00,N/A,"$1,500.00",66,-$510.00,$937.78,,,,
14-Nov,BALLROOM,Four Fists,$15.00,$18.00,45,$675.00,"$2,000.00","$1,325.00",26,$468.00,"$1,143.00",-$857.00,$45.72,"$2,000.00",71,-$902.72,$754.90,,,,
17-Nov,TAVERN,King Buffalo,$10.00,$10.00,22,$220.00,$143.00,-$77.00,37,$370.00,$590.00,$447.00,N/A,$383.50,59,$206.50,"$1,034.24",,,,
18-Nov,TAVERN,Gold Connections,$10.00,$12.00,3,$30.00,$18.00,-$12.00,8,$96.00,$126.00,$108.00,N/A,$75.60,11,$50.40,$175.03,,,,
19-Nov,TAVERN,Den-Mate,$10.00,$10.00,2,$20.00,$12.00,-$8.00,5,$50.00,$70.00,$58.00,N/A,$42.00,7,$28.00,$203.32,,,,
21-Nov,BALLROOM,The Floorwalkers,$10.00,$13.00,33,$330.00,$264.00,-$66.00,50,$650.00,$980.00,$0.00,$39.20,$784.00,83,$156.80,"$1,912.39",,,,
21-Nov,TAVERN,Mimi Arden,$8.00,$10.00,2,$16.00,$12.80,-$3.20,27,$270.00,$286.00,$273.20,N/A,$200.20,29,$85.80,$437.38,,,,
23-Nov,TAVERN,Odonis Odonis,$7.00,$10.00,3,$21.00,$14.70,-$6.30,22,$220.00,$241.00,$226.30,N/A,$168.70,25,$72.30,$427.24,,,,
27-Nov,TAVERN,Arlie,$12.00,$12.00,62,$744.00,$600.00,-$144.00,10,$120.00,$864.00,$264.00,N/A,$600.00,72,$264.00,$518.98,,,,
28-Nov,BALLROOM,Rubblebucket,$15.00,$18.00,133,"$1,995.00","$4,500.00","$2,505.00",44,$792.00,"$2,787.00","-$1,713.00",$111.48,"$3,500.00",177,-$824.48,"$1,892.43",,,,
30-Nov,BALLROOM,Haken + Leprous,$25.00,$30.00,375,"$9,375.00","$4,500.00","-$4,875.00",32,$960.00,"$10,335.00","-$5,835.00",$413.40,"$4,500.00",407,"$5,421.60","$2,926.13",,,,
30-Nov,TAVERN,The Go Rounds,$10.00,$12.00,4,$40.00,$24.00,-$16.00,18,$216.00,$256.00,-$232.00,N/A,$153.60,22,$102.40,$935.67,,,,
2-Dec,BALLROOM,PARQUET COURTS  *SOLD OUT,$22.00,$22.00,502,"$11,044.00","$9,387.40","-$1,656.60",0,$0.00,"$11,044.00","-$1,656.60",$441.76,"$9,387.40",502,"$1,214.84","$4,493.17",,,,
2-Dec,TAVERN,Helena Deland,$10.00,$12.00,8,$80.00,$200.00,$120.00,16,$192.00,$272.00,-$72.00,N/A,$200.00,24,$72.00,$936.03,,,,
3-Dec,TAVERN,Flasher,$10.00,$12.00,5,$50.00,$700.00,$650.00,5,$60.00,$110.00,$590.00,N/A,$700.00,10,-$590.00,$239.27,,,,
4-Dec,TAVERN,Scott Helman,$12.00,$14.00,19,$228.00,$300.00,$72.00,7,$98.00,$326.00,-$26.00,N/A,$300.00,26,$26.00,$225.68,,,,
7-Dec,TAVERN,Allie Colleen,$15.00,$15.00,32,$480.00,$336.00,-$144.00,6,$90.00,$570.00,-$234.00,N/A,$399.00,38,$171.00,$853.11,,,,
18-Dec,BALLROOM,I See Stas,$15.00,$18.00,61,$915.00,"$2,000.00","$1,085.00",14,$252.00,"$1,167.00",-$833.00,$46.68,"$2,000.00",75,-$879.68,$900.30,,,,
15-Dec,TAVERN,The Ragbirds,$13.00,$15.00,38,$494.00,$900.00,$406.00,31,$465.00,$959.00,-$59.00,N/A,$900.00,69,$59.00,"$1,158.03",,,,
18-Dec,BALLROOM,Larkin Poe,$20.00,$22.00,390,"$7,800.00","$4,000.00","-$3,800.00",45,$990.00,"$8,790.00","$4,790.00",$351.60,"$4,300.00",435,"$4,138.40","$5,750.00",,,,
19-Dec,BALLROOM,Cassidy King,$15.00,$15.00,166,"$2,490.00","$2,250.00",-$240.00,25,$375.00,"$2,865.00",$615.00,$114.60,"$2,250.00",191,$500.40,$899.06,,,,
20-Dec,TAVERN,Plattenbau,$10.00,$12.00,5,$50.00,$30.00,-$20.00,21,$252.00,$302.00,-$272.00,N/A,$181.20,26,$120.80,$334.77,,,,
