DATE,ROOM,BANDS,ADV,DOS,TOTAL ADV,ADV IN,NEED,LEFT,TOTAL DOS,DOS IN,FINAL,FINAL NEED ,CLE TAX TAKEN,BAND PAYOUT,TOTAL COUNT,REMAINING,BAR RINGS,,,
4/18/18,TAVERN,Stuyedeyed,$10.00,$10.00,0,$0.00,$6.00,$6.00,3,$30.00,$30.00,-$24.00,N/A,$18.00,3,$12.00,$212.11,,,
4/20/18,TAVERN,Delvon Lamarr Organ Trio,$10.00,$10.00,37,$370.00,$350.00,-$20.00,81,$810.00,"$1,180.00",-$830.00,N/A,$394.00,118,$786.00,"$1,931.95",,,
4/24/18,TAVERN,Wild Ones,$12.00,$14.00,20,$240.00,$650.00,$410.00,5,$70.00,$310.00,$340.00,N/A,$570.00,25,-$260.00,$323.30,,,
4/27/18,TAVERN,Joey Aich,$8.00,$10.00,4,$32.00,$200.00,$168.00,23,$230.00,$262.00,-$62.00,N/A,$200.00,27,$62.00,$480.23,,,
4/28/18,TAVERN,Driftwood,$10.00,$12.00,25,$250.00,$600.00,$350.00,34,$408.00,$658.00,-$58.00,N/A,$600.00,59,$58.00,$943.16,,,
5/1/18,TAVERN,Dead Horses,$10.00,$12.00,8,$80.00,$450.00,$370.00,5,$60.00,$140.00,$310.00,N/A,$450.00,13,-$310.00,$210.95,,,
5/4/18,BALLROOM,Hot Club of Cowtown,$20.00,$25.00,88,"$1,760.00","$2,650.00",$890.00,27,$0.00,"$1,760.00",$890.00,$70.40,"$2,500.00",115,-$810.40,"$1,143.94",,,
5/5/18,TAVERN,Ruby The RabbitFoot,$7.00,$10.00,4,$28.00,$18.20,-$9.80,9,$90.00,$118.00,-$99.80,N/A,$76.70,13,$41.30,$289.00,,,
5/6/18,TAVERN,The Brevet,$10.00,$12.00,7,$70.00,$400.00,$330.00,6,$72.00,$142.00,$258.00,N/A,$400.00,13,-$258.00,$254.57,,,
5/7/18,TAVERN,Y La Bamba,$10.00,$12.00,10,$100.00,$200.00,$100.00,31,$372.00,$472.00,-$272.00,N/A,$200.00,41,$272.00,$718.00,,,
5/8/18,TAVERN,Sunflower Bean,$12.00,$12.00,75,$900.00,$800.00,-$100.00,22,$264.00,"$1,164.00",-$364.00,N/A,$800.00,97,$364.00,$809.65,,,
